Settlement Main,Settlement Alt,Area (alt-map resource sheet),Sub-Area (alt-map resource sheet),Region Code Main,Region Code Alt,Official Area,Resource Sheet Area,order,Comment,Landscape,Climates,offset,Fertility,Port level,Riverport,Irrigation,Earthquakes (not used yet),complete,Hidden resources,comment,rss done,,,,Item,Hidden resource
ITALY,,,,,,,,,,,,,,,,,,,,,,,,,Hills,hills
Rome,Rome,Italy,Latium & Central Italy,Roma,Roma,Italy,Italy,1,,River Valley,Mediterranean,1,11,Shipwright,Yes,River,Yes,OK,"Farm11, river_valley, mediterranean, base_port_level_2, rivertrade, irrigation_river",,,,,,Mountain Valley,mountain_valley
Capua,Capua,Italy,Campania & Samnium,Campania,Campania,Italy,Italy,1,,Floodplains/Delta,Mediterranean,1,13,Shipwright,Yes,River,Yes,OK,"Farm13, floodplains_delta, mediterranean, base_port_level_2, rivertrade, irrigation_river",,,,,,Grassland,grassland
Arretium,Arretium,Italy,Etruria,Aritim,Aritim,Italy,Italy,1,,River Valley,Mediterranean,1,11,No port,Yes,River,Yes,OK,"Farm11, river_valley, mediterranean, rivertrade, irrigation_river",,,,,,River Valley,river_valley
Asculum,Asculum,Italy,Central East Italy,Picenum,Picenum,Italy,Italy,1,,Hills,Humid Sub-tropical,1,7,Trade Port,No,River,Yes,OK,"Farm7, hills, humid_sub_tropical, base_port_level_1, irrigation_river",,,,,,Mountains,mountains
Tarentum,Tarentum,Italy,South East Italy,Taras,Taras,Italy,Italy,1,,Grassland,Mediterranean,0,9,Dockyard,yes,River,Yes,OK,"Farm9, grassland, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,Desert,desert
Maleventum,Maleventum,Italy,Campania & Samnium,Samnium,Samnium,Italy,Italy,1,,Hills,Mediterranean,0,6,No port,No,River,Yes,OK,"Farm6, hills, mediterranean, irrigation_river",,,,,,Plateau,plateau
Venusia,Venusia,Italy,South East Italy,Peucetia,Apulia,Italy,Italy,1,Name Change,Grassland,Mediterranean,-1,8,Trade Port,No,Lake,No,OK,"Farm8, grassland, mediterranean, base_port_level_1, irrigation_lake",,,,,,Forest,forest
Grumentum,Grumentum,Italy,South West Italy,Lucania,Lucania,Italy,Italy,1,,Mountains,Temperate,1,6,Trade Port,No,River,Yes,OK,"Farm6, mountains, temperate, base_port_level_1, irrigation_river",,,,,,Floodplains/delta,floodplains_delta
Brundisium,Brundisium,Italy,South East Italy,Calabria,Calabria,Italy,Italy,1,,Grassland,Mediterranean,1,10,Dockyard,No,No,No,OK,"Farm10, grassland, mediterranean, base_port_level_3",,,,,,Small Islands/Rocky Coast,small_islands_and_rocky_coast
